# Dieser Datensatz umfasst die bewohnten Wohnungen mit Wohnungsfläche sowie
# Personenangaben der Bewohnerschaft zur Haushaltsstruktur, aufgegliedert für
# mehrheitlich gemeinnützige und andere Eigentumsarten sowie Neubauart (z.B.
# Ersatzneubau).

# Die Daten stammen aus der Datenbank «Gebäude- und Wohnungsregister der Stadt
# Zürich» (GWZ) und dem Bevölkerungsregister (BVS) von Statistik Stadt Zürich.
# Die abgeglichenen Register werden seit 2014 laufend weitergeführt und
# bereinigt.  Datenquelle :
#
# Datenquelle und detaillierte Beschreibung der Variablen:
# https://data.stadt-zuerich.ch/dataset/bau_best_whg_pers_haush_quartier_neubauart_gemeinnuetzig_seit2014
#
"ReportJahr","StatistikJahr","QuarSort","QuarLang","HptEigGruppe","ArtErsatzneubau","AnzWhgBew","WohnFlBew","PersInWhgGT2","inHh_PamK","inHh_1ElK","inHh_UemK","inHh_1P","inHh_2P","inHh_EpoK","inHh_WGoK"
2017,2014,33,"Friesenberg","Übrige Eigentümerschaften","Altbau (bis 2006)",924,68441,1755,495,75,95,412,302,262,104
2017,2015,33,"Friesenberg","Übrige Eigentümerschaften","Altbau (bis 2006)",911,68116,1783,535,59,132,400,308,244,105
2017,2016,33,"Friesenberg","Übrige Eigentümerschaften","Altbau (bis 2006)",906,67473,1778,511,59,134,407,284,250,134
2017,2014,33,"Friesenberg","Übrige Eigentümerschaften","Neubau als Wohnersatz",99,10623,256,131,3,25,23,34,32,8
2017,2015,33,"Friesenberg","Übrige Eigentümerschaften","Neubau als Wohnersatz",97,10424,248,132,3,10,21,36,32,13
2017,2016,33,"Friesenberg","Übrige Eigentümerschaften","Neubau als Wohnersatz",103,11153,268,155,6,4,24,36,24,17
2017,2014,33,"Friesenberg","Übrige Eigentümerschaften","Neubau auf unbebautem Land",48,5858,121,53,6,11,8,14,22,7
2017,2015,33,"Friesenberg","Übrige Eigentümerschaften","Neubau auf unbebautem Land",49,6001,126,60,6,4,8,16,20,7
2017,2016,33,"Friesenberg","Übrige Eigentümerschaften","Neubau auf unbebautem Land",48,5858,130,70,6,4,6,16,20,8
2017,2014,34,"Sihlfeld","Im Stockwerkeigentum","Altbau (bis 2006)",442,33820,986,211,19,178,202,164,92,130
2017,2015,34,"Sihlfeld","Im Stockwerkeigentum","Altbau (bis 2006)",434,33070,987,202,16,195,191,174,82,124
2017,2016,34,"Sihlfeld","Im Stockwerkeigentum","Altbau (bis 2006)",447,34122,1021,205,14,196,189,186,90,136
2017,2014,34,"Sihlfeld","Im Stockwerkeigentum","Neubau als Wohnersatz",13,1664,40,14,0,6,2,4,0,15
2017,2015,34,"Sihlfeld","Im Stockwerkeigentum","Neubau als Wohnersatz",18,2247,53,17,0,17,2,6,4,7
2017,2016,34,"Sihlfeld","Im Stockwerkeigentum","Neubau als Wohnersatz",18,2247,54,17,0,22,3,6,6,0
2017,2014,34,"Sihlfeld","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2722,182184,5374,1554,594,475,1239,632,592,291
2017,2015,34,"Sihlfeld","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2736,183211,5372,1616,595,425,1260,630,614,234
2017,2016,34,"Sihlfeld","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2675,178738,5234,1653,594,366,1238,610,582,201
2017,2014,34,"Sihlfeld","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",310,30522,902,623,32,50,42,94,46,23
2017,2015,34,"Sihlfeld","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",312,30730,916,636,24,58,47,88,48,18
2017,2016,34,"Sihlfeld","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",312,30730,939,658,36,62,48,68,42,25
2017,2014,34,"Sihlfeld","Übrige Eigentümerschaften","Altbau (bis 2006)",7108,474361,12786,2403,377,866,3693,3040,1034,1326
2017,2015,34,"Sihlfeld","Übrige Eigentümerschaften","Altbau (bis 2006)",7166,477665,12835,2372,370,885,3768,3042,994,1321
2017,2016,34,"Sihlfeld","Übrige Eigentümerschaften","Altbau (bis 2006)",7235,480694,12867,2350,343,846,3796,3198,988,1303
2017,2014,34,"Sihlfeld","Übrige Eigentümerschaften","Neubau als Wohnersatz",52,4415,139,82,2,14,16,24,2,0
2017,2015,34,"Sihlfeld","Übrige Eigentümerschaften","Neubau als Wohnersatz",68,5518,157,58,4,21,26,38,4,6
2017,2016,34,"Sihlfeld","Übrige Eigentümerschaften","Neubau als Wohnersatz",68,5521,162,72,6,12,27,34,4,7
2017,2014,34,"Sihlfeld","Übrige Eigentümerschaften","Neubau auf unbebautem Land",35,2715,60,4,2,0,12,40,2,0
2017,2015,34,"Sihlfeld","Übrige Eigentümerschaften","Neubau auf unbebautem Land",55,4859,95,3,2,0,19,46,18,6
2017,2016,34,"Sihlfeld","Übrige Eigentümerschaften","Neubau auf unbebautem Land",56,5004,99,9,2,0,16,46,22,6
2017,2014,41,"Werd","Im Stockwerkeigentum","Altbau (bis 2006)",64,5778,131,26,3,0,20,32,26,25
2017,2015,41,"Werd","Im Stockwerkeigentum","Altbau (bis 2006)",64,5841,130,32,3,3,22,26,24,20
2017,2016,41,"Werd","Im Stockwerkeigentum","Altbau (bis 2006)",67,6152,140,33,3,10,25,22,28,20
2017,2014,41,"Werd","Im Stockwerkeigentum","Neubau als Wohnersatz",4,398,7,".",".",".",".",".",".","."
2017,2015,41,"Werd","Im Stockwerkeigentum","Neubau als Wohnersatz",6,528,10,3,0,0,3,2,2,0
2017,2016,41,"Werd","Im Stockwerkeigentum","Neubau als Wohnersatz",6,528,9,".",".",".",".",".",".","."
2017,2014,41,"Werd","Öffentl./Genossenschaftl.","Altbau (bis 2006)",118,10182,281,69,9,26,32,52,26,65
2017,2015,41,"Werd","Öffentl./Genossenschaftl.","Altbau (bis 2006)",126,10678,287,78,9,32,46,44,22,54
2017,2016,41,"Werd","Öffentl./Genossenschaftl.","Altbau (bis 2006)",124,10613,287,88,9,27,43,46,22,52
2017,2014,41,"Werd","Öffentl./Genossenschaftl.","Neubau als Umnutzung",53,7336,239,78,11,65,1,12,10,61
2017,2015,41,"Werd","Öffentl./Genossenschaftl.","Neubau als Umnutzung",53,7336,252,76,10,75,1,10,10,68
2017,2016,41,"Werd","Öffentl./Genossenschaftl.","Neubau als Umnutzung",53,7336,256,62,13,109,2,8,8,55
2017,2014,41,"Werd","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",9,672,25,12,0,5,1,4,4,0
2017,2015,41,"Werd","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",9,672,25,12,0,5,2,4,2,0
2017,2016,41,"Werd","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",9,672,24,15,0,0,1,4,4,0
2017,2014,41,"Werd","Übrige Eigentümerschaften","Altbau (bis 2006)",1736,121478,3390,729,65,290,873,720,202,504
2017,2015,41,"Werd","Übrige Eigentümerschaften","Altbau (bis 2006)",1749,121434,3432,724,75,303,871,740,214,503
2017,2016,41,"Werd","Übrige Eigentümerschaften","Altbau (bis 2006)",1774,123404,3472,808,68,267,872,784,212,458
2017,2014,41,"Werd","Übrige Eigentümerschaften","Neubau als Wohnersatz",13,1144,27,0,0,5,4,10,2,6
